transcript,question,domain,delta_mean,delta_hdi_lo,delta_hdi_hi,P_tier1,P_tier2,P_tier3,modal_tier
7,Internal Temperature of Stars,brainteasers,-1.1017388279695823,-1.72977154948563,-0.5102993253413916,1.0,0.0,0.0,1
8,Internal Temperature of Stars,brainteasers,-0.707415322435056,-1.3197152991155807,-0.06553117484365645,0.996125,0.003875,0.0,1
14,Rust,coding,-0.5273387398778838,-1.1263063837943696,0.13836212637393713,0.971125,0.028875,0.0,1
3,Early Universe Galaxies,astrophysics,-0.34996752989377256,-1.002824208263829,0.28046352289077775,0.835,0.163625,0.001375,1
24,Switch,brainteasers,-0.327451242931681,-0.9608622469178296,0.3089093765093037,0.775125,0.220625,0.00425,1
2,Bergs,brainteasers,-0.26517682137891635,-0.8687768367522093,0.36637000069349124,0.69325,0.302625,0.004125,1
13,Rust,coding,-0.22337686990262404,-0.8855845619700449,0.3995521769431176,0.601875,0.38725,0.010875,1
11,Little Red Dots,astrophysics,-0.20344888078801834,-0.8263190152195596,0.4536435205595912,0.564,0.422125,0.013875,1
4,Early Universe Galaxies,astrophysics,-0.1611185093015194,-0.7909530490623844,0.4579862126797377,0.466125,0.515125,0.01875,2
19,Prefix-sum,coding,-0.05831101987285649,-0.7300530145409481,0.5567287390696362,0.254375,0.674375,0.07125,2
17,ORM library,coding,-0.03799942331898083,-0.6806759186304686,0.6045148205777644,0.213375,0.705375,0.08125,2
12,Little Red Dots,astrophysics,-0.0373869688835708,-0.6607414228578727,0.5913478272368525,0.21425,0.700125,0.085625,2
1,Bergs,brainteasers,-0.0023478275544824255,-0.6335884691479459,0.6045322590850526,0.1665,0.71325,0.12025,2
18,ORM library,coding,0.008419336593141298,-0.6519600029609403,0.6298230881936686,0.144875,0.728375,0.12675,2
9,Large Linear Structure,astrophysics,0.14771662035566369,-0.4749310021137535,0.8003684232247276,0.0395,0.597375,0.363125,2
5,Graviational Lens Modelling,astrophysics,0.1518306293578001,-0.4761779055113332,0.8061542714617222,0.043125,0.581625,0.37525,2
10,Large Linear Structure,astrophysics,0.25023864189340717,-0.36615168957378796,0.9098526278242567,0.011875,0.395,0.593125,3
20,Prefix-sum,coding,0.3252290732940998,-0.31758949125351615,0.9807082047741543,0.004375,0.267125,0.7285,3
15,Database deletion,coding,0.35654316456148333,-0.2711965935216565,1.014292891940775,0.002625,0.2115,0.785875,3
6,Graviational Lens Modelling,astrophysics,0.3690676841968244,-0.2770272090430154,1.0161652420118346,0.001875,0.184375,0.81375,3
23,Switch,brainteasers,0.45263494448975417,-0.18312964291499023,1.0558994915569069,0.000125,0.104,0.895875,3
16,Database deletion,coding,0.47576246322091176,-0.16200184699876094,1.1379727940443984,0.000375,0.077875,0.92175,3
21,Probability puzzle,brainteasers,0.6473143994925586,-0.02157239257446425,1.255229945171436,0.000125,0.0155,0.984375,3
22,Probability puzzle,brainteasers,1.2299643310848443,0.6110960931083853,1.8795982990354023,0.0,0.0,1.0,3
